City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,Buraydah,26.326,43.975,88.25,12,0,12.24,SA,2022-05-24 17:31:02
144,Salalah,17.0151,54.0924,84.29,84,40,6.91,OM,2022-05-24 17:26:01
145,Cape Town,-33.9258,18.4232,61.21,91,100,10.36,ZA,2022-05-24 17:23:02
146,Harper,4.375,-7.7169,78.42,84,100,10.89,LR,2022-05-24 17:31:03
147,Kwakoa,-3.7667,37.7167,72.46,66,87,6.38,TZ,2022-05-24 17:31:04
148,Esperance,-33.8667,121.9,61.74,75,39,17.9,AU,2022-05-24 17:31:04
149,Gondanglegi,-7.7479,112.0132,74.88,90,86,5.21,ID,2022-05-24 17:31:04
150,East London,-33.0153,27.9116,64.47,77,97,9.93,ZA,2022-05-24 17:30:37
151,Bataipora,-22.2953,-53.2711,83.48,28,0,6.82,BR,2022-05-24 17:31:05
152,Podkumskiy,44.0756,43.2103,54.37,82,75,8.95,RU,2022-05-24 17:31:05
153,Orlovskiy,46.8714,42.0592,53.69,57,95,5.21,RU,2022-05-24 17:31:06
154,Bahia Honda,22.9036,-83.1592,86.72,60,84,8.61,CU,2022-05-24 17:31:06
155,Virginia Beach,36.8529,-75.978,67.05,92,100,13.8,US,2022-05-24 17:26:41
156,Ishigaki,24.3448,124.1572,73.53,100,100,1.14,JP,2022-05-24 17:31:06
157,Fort-Shevchenko,44.5086,50.263,61.34,74,69,12.1,KZ,2022-05-24 17:31:07
158,Grand Gaube,-20.0064,57.6608,75.6,69,25,5.01,MU,2022-05-24 17:31:07
159,Vostok,46.4856,135.8833,49.57,99,100,2.59,RU,2022-05-24 17:31:08
160,Ancud,-41.8697,-73.8203,47.8,74,86,5.37,CL,2022-05-24 17:31:08
161,Senanga,-16.1167,23.2667,60.12,33,0,3.76,ZM,2022-05-24 17:31:08
162,Poum,-20.2333,164.0167,76.8,79,100,15.75,NC,2022-05-24 17:31:09
163,Axim,4.8699,-2.2405,76.77,88,91,12.03,GH,2022-05-24 17:31:10
164,Namibe,-15.1961,12.1522,69.84,73,0,7.63,AO,2022-05-24 17:31:10
165,Hamilton,39.1834,-84.5333,74.19,58,0,9.22,US,2022-05-24 17:31:02
166,Leshan,29.5623,103.7639,69.53,84,100,0.98,CN,2022-05-24 17:27:52
167,Peachtree City,33.3968,-84.5958,81.01,66,40,3.44,US,2022-05-24 17:28:19
168,Yellowknife,62.456,-114.3525,50.52,37,20,9.22,CA,2022-05-24 17:26:32
169,Bethel,41.3712,-73.414,70.36,55,75,8.05,US,2022-05-24 17:31:11
170,Wuwei,37.9281,102.6414,68.95,36,60,6.89,CN,2022-05-24 17:31:12
171,Mahibadhoo,3.7833,72.9667,83.28,75,100,6.46,MV,2022-05-24 17:31:12
172,Vallenar,-28.5708,-70.7581,78.08,24,37,5.88,CL,2022-05-24 17:31:12
173,Clyde River,70.4692,-68.5914,17.83,67,75,11.5,CA,2022-05-24 17:31:13
174,Voznesenye,61.0106,35.4781,39.31,79,100,6.76,RU,2022-05-24 17:31:13
175,Dingle,10.9995,122.6711,79.41,84,85,4.05,PH,2022-05-24 17:31:13
176,La Ronge,55.1001,-105.2842,43.05,39,75,11.5,CA,2022-05-24 17:31:14
177,Benguela,-12.5763,13.4055,71.82,83,19,4.85,AO,2022-05-24 17:31:14
178,Erdenet,49.0333,104.0833,49.24,45,93,2.21,MN,2022-05-24 17:31:14
179,Tabuk,17.4189,121.4443,75.83,91,89,1.79,PH,2022-05-24 17:32:15
180,Coatesville,39.9832,-75.8238,67.21,70,100,5.75,US,2022-05-24 17:32:15
181,Fortuna,40.5982,-124.1573,56.32,90,0,6.91,US,2022-05-24 17:32:16
182,Skelleftea,64.7507,20.9528,62.96,23,0,8.05,SE,2022-05-24 17:32:17
183,Ponta Do Sol,32.6667,-17.1,70.12,51,72,8.39,PT,2022-05-24 17:32:17
184,Olafsvik,64.8945,-23.7142,44.37,84,100,7.65,IS,2022-05-24 17:32:18
185,Adre,13.4667,22.2,88.61,12,100,5.46,TD,2022-05-24 17:32:18
186,Yar-Sale,66.8333,70.8333,37.29,83,69,9.55,RU,2022-05-24 17:32:18
187,Tokur,53.1333,132.9,24.78,99,75,1.79,RU,2022-05-24 17:32:19
188,Hami,42.8,93.45,84.83,14,62,16.91,CN,2022-05-24 17:32:19
189,Chuy,-33.6971,-53.4616,67.93,62,100,7.7,UY,2022-05-24 17:26:06
190,Dunhua,43.3725,128.2425,54.57,87,97,4.23,CN,2022-05-24 17:32:19
