City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
109,Chalus,IR,77.0,clear sky,36.655,51.4204,Rama Spa
114,Tabas,IR,80.56,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
116,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
118,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
119,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
123,Muncar,ID,75.72,scattered clouds,-8.4333,114.3333,Zaky Homestay
125,Mandiana,GN,83.14,broken clouds,10.6333,-8.6833,Motels rouzo
128,Jieshi,CN,80.28,broken clouds,22.8134,115.8257,Yuehai Hotel
137,Xapuri,BR,77.65,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
143,Porto Nacional,BR,82.4,broken clouds,-10.7081,-48.4172,Vila Real Hotel
144,Hithadhoo,MV,83.14,overcast clouds,-0.6,73.0833,Scoop Guest House
147,Awash,ET,76.12,scattered clouds,8.9833,40.1667,Kediga hotel
148,Fairbanks,US,77.02,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
152,Najran,SA,75.47,clear sky,17.4924,44.1277,محمد هادي ال فطيح
156,Srandakan,ID,75.02,overcast clouds,-7.9386,110.2506,Puri Brata
157,Dhidhdhoo,MV,82.42,few clouds,6.8833,73.1,Dhidhoo beach
161,Alofi,NU,79.2,clear sky,-19.0595,-169.9187,Taloa Heights
163,Waingapu,ID,77.22,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
164,Pedasi,PA,84.07,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
174,Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
175,Dingle,PH,77.63,light rain,10.9995,122.6711,SEGAYA PROPERTY
176,Santa Marta,CO,83.37,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
184,Porto Novo,BJ,80.49,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
186,Sur,OM,87.3,clear sky,22.5667,59.5289,Sur Plaza Hotel
187,Lorengau,PG,82.42,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
197,Madang,PG,77.4,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
201,Warren,US,82.33,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
205,Cantagallo,CO,82.6,broken clouds,7.376,-73.9196,Apartahotel Altamira
206,San Miguel,SV,79.83,overcast clouds,13.4833,-88.1833,Excalibur
208,Mayo,US,86.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
217,Trairi,BR,76.14,scattered clouds,-3.2778,-39.2689,janelas do mar
218,Contamana,PE,85.26,scattered clouds,-7.3333,-75.0167,Shiringal Touristic Park
223,Guanica,PR,87.51,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
231,Westport,US,81.95,scattered clouds,41.1415,-73.3579,The Westport Inn
233,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
235,Lompoc,US,79.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
238,Gat,IL,76.41,scattered clouds,31.61,34.7642,OlusHome
239,Faanui,PF,80.08,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
241,Kenai,US,77.02,few clouds,60.5544,-151.2583,Aspen Extended Stay Suites
243,Fremont,US,78.39,few clouds,37.5483,-121.9886,Best Western Plus Garden Court Inn
246,Alyangula,AU,75.54,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
255,Price,US,81.66,clear sky,39.5994,-110.8107,National 9 - Price River Inn
256,Carbondale,US,85.05,clear sky,37.7273,-89.2168,Best Western Saluki Inn
262,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
264,Bud,US,84.15,few clouds,39.447,-86.1758,Ted McQuinn Trust
270,Kaduqli,SD,87.39,overcast clouds,11.0167,29.7167,Nussyba
275,Sungairaya,ID,77.05,scattered clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
277,Placido De Castro,BR,78.55,broken clouds,-10.3353,-67.1856,Hotel Carioca
280,Vanimo,PG,78.03,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
291,Tenosique,MX,88.92,few clouds,17.4833,-91.4333,Hotel Central
297,Pedernales,DO,84.92,overcast clouds,18.0384,-71.744,Hotel Costa Marina
298,Takoradi,GH,79.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
299,Touros,BR,76.93,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
301,Bridgetown,BB,82.89,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
303,Singapore,SG,80.46,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
305,Manokwari,ID,78.57,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
306,Bac Lieu,VN,78.8,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
311,Dingli,MT,78.96,clear sky,35.8614,14.3822,The Xara Palace Relais & Chateaux
313,Russell,US,84.11,overcast clouds,32.3502,-85.1999,Macs
316,Kismayo,SO,75.92,moderate rain,-0.3582,42.5454,Agan-Hotel
323,Ishigaki,JP,83.05,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
326,Bethel,US,80.69,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
327,Buraydah,SA,89.65,clear sky,26.326,43.975,Mövenpick Qassim
329,Cloquet,US,76.8,few clouds,46.7216,-92.4594,Super 8 by Wyndham Cloquet
332,Tagudin,PH,77.88,overcast clouds,16.9355,120.4442,Tagudan Kubo Garden Hotel
333,Nuevitas,CU,81.97,overcast clouds,21.5453,-77.2644,Hotel Caonaba
334,Banda Aceh,ID,80.42,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
335,Nanakuli,US,84.15,broken clouds,21.3906,-158.1547,Camp Pālehua
339,Mabaruma,GY,76.42,broken clouds,8.2,-59.7833,Monty Brooms Guest House
